Major occupational group,Percent of total employment,,Mean hourly wage ($),
,United States,Santa Barbara,United States,Santa Barbara
"Total, all occupations",100,100,31.48,33.13
Management,6.9,6.4,66.23,68.09
Business and financial operations,6.6,5.3,43.55,45.51
Computer and mathematical,3.4,3.1,54.39,63.83
Architecture and engineering,1.7,2,47.64,58.13
"Life, physical, and social science",0.9,1.3,42.24,46.24
Community and social service,1.6,1.9,28.36,33.39
Legal,0.8,0.5,64.34,59.02
Educational instruction and library,5.8,6.9,31.92,39.57
"Arts, design, entertainment, sports, and media",1.4,1.3,36.31,37.03
Healthcare practitioners and technical,6.1,5,49.07,58.72
Healthcare support,4.7,5,18.37,20.28
Protective service,2.3,1.8,27.74,37.91
Food preparation and serving related,8.7,11.5,16.58,19.33
Building and grounds cleaning and maintenance,2.9,4.1,18.43,20.68
Personal care and service,2,2.4,18.48,21.32
Sales and related,8.8,7.8,25.62,25.43
Office and administrative support,12.2,10.4,23.05,25.73
"Farming, fishing, and forestry",0.3,6.7,19.22,18.55
Construction and extraction,4.1,4,29.57,31.7
"Installation, maintenance, and repair",3.9,2.7,28.13,30.12
Production,5.8,3.7,22.9,24.4
Transportation and material moving,9.1,6.1,22.45,21.93